,Genero,Idade,AnoMes,Qtd,previsao
336,Homens,15 a 19 anos,2013-01-01,35.0,
337,Homens,15 a 19 anos,2013-02-01,36.0,
338,Homens,15 a 19 anos,2013-03-01,40.0,
339,Homens,15 a 19 anos,2013-04-01,36.0,
340,Homens,15 a 19 anos,2013-05-01,36.0,
341,Homens,15 a 19 anos,2013-06-01,35.0,
342,Homens,15 a 19 anos,2013-07-01,24.0,
343,Homens,15 a 19 anos,2013-08-01,38.0,
344,Homens,15 a 19 anos,2013-09-01,37.0,
345,Homens,15 a 19 anos,2013-10-01,38.0,
346,Homens,15 a 19 anos,2013-11-01,31.0,
347,Homens,15 a 19 anos,2013-12-01,38.0,
348,Homens,15 a 19 anos,2014-01-01,25.0,
349,Homens,15 a 19 anos,2014-02-01,30.0,
350,Homens,15 a 19 anos,2014-03-01,26.0,
351,Homens,15 a 19 anos,2014-04-01,40.0,
352,Homens,15 a 19 anos,2014-05-01,22.0,
353,Homens,15 a 19 anos,2014-06-01,33.0,
354,Homens,15 a 19 anos,2014-07-01,29.0,
355,Homens,15 a 19 anos,2014-08-01,33.0,
356,Homens,15 a 19 anos,2014-09-01,36.0,
357,Homens,15 a 19 anos,2014-10-01,51.0,
358,Homens,15 a 19 anos,2014-11-01,52.0,
359,Homens,15 a 19 anos,2014-12-01,41.0,
360,Homens,15 a 19 anos,2015-01-01,31.0,
361,Homens,15 a 19 anos,2015-02-01,33.0,
362,Homens,15 a 19 anos,2015-03-01,29.0,
363,Homens,15 a 19 anos,2015-04-01,51.0,
364,Homens,15 a 19 anos,2015-05-01,42.0,
365,Homens,15 a 19 anos,2015-06-01,31.0,
366,Homens,15 a 19 anos,2015-07-01,29.0,
367,Homens,15 a 19 anos,2015-08-01,32.0,
368,Homens,15 a 19 anos,2015-09-01,21.0,
369,Homens,15 a 19 anos,2015-10-01,26.0,
370,Homens,15 a 19 anos,2015-11-01,28.0,
371,Homens,15 a 19 anos,2015-12-01,32.0,
372,Homens,15 a 19 anos,2016-01-01,36.0,
373,Homens,15 a 19 anos,2016-02-01,20.0,
374,Homens,15 a 19 anos,2016-03-01,24.0,
375,Homens,15 a 19 anos,2016-04-01,30.0,
376,Homens,15 a 19 anos,2016-05-01,34.0,
377,Homens,15 a 19 anos,2016-06-01,24.0,
378,Homens,15 a 19 anos,2016-07-01,29.0,
379,Homens,15 a 19 anos,2016-08-01,16.0,
380,Homens,15 a 19 anos,2016-09-01,22.0,
381,Homens,15 a 19 anos,2016-10-01,28.0,
382,Homens,15 a 19 anos,2016-11-01,28.0,
383,Homens,15 a 19 anos,2016-12-01,29.0,
384,Homens,15 a 19 anos,2017-01-01,25.0,
385,Homens,15 a 19 anos,2017-02-01,31.0,
386,Homens,15 a 19 anos,2017-03-01,20.0,
387,Homens,15 a 19 anos,2017-04-01,28.0,
388,Homens,15 a 19 anos,2017-05-01,37.0,
389,Homens,15 a 19 anos,2017-06-01,24.0,
390,Homens,15 a 19 anos,2017-07-01,24.0,
391,Homens,15 a 19 anos,2017-08-01,18.0,
392,Homens,15 a 19 anos,2017-09-01,26.0,
393,Homens,15 a 19 anos,2017-10-01,21.0,
394,Homens,15 a 19 anos,2017-11-01,28.0,
395,Homens,15 a 19 anos,2017-12-01,28.0,
396,Homens,15 a 19 anos,2018-01-01,19.0,
397,Homens,15 a 19 anos,2018-02-01,26.0,
398,Homens,15 a 19 anos,2018-03-01,35.0,
399,Homens,15 a 19 anos,2018-04-01,30.0,
400,Homens,15 a 19 anos,2018-05-01,35.0,
401,Homens,15 a 19 anos,2018-06-01,30.0,
402,Homens,15 a 19 anos,2018-07-01,31.0,
403,Homens,15 a 19 anos,2018-08-01,30.0,
404,Homens,15 a 19 anos,2018-09-01,27.0,
405,Homens,15 a 19 anos,2018-10-01,30.0,
406,Homens,15 a 19 anos,2018-11-01,32.0,
407,Homens,15 a 19 anos,2018-12-01,44.0,
408,Homens,15 a 19 anos,2019-01-01,27.0,
409,Homens,15 a 19 anos,2019-02-01,23.0,
410,Homens,15 a 19 anos,2019-03-01,38.0,
411,Homens,15 a 19 anos,2019-04-01,34.0,
412,Homens,15 a 19 anos,2019-05-01,38.0,
413,Homens,15 a 19 anos,2019-06-01,33.0,
414,Homens,15 a 19 anos,2019-07-01,28.0,
415,Homens,15 a 19 anos,2019-08-01,36.0,
416,Homens,15 a 19 anos,2019-09-01,28.0,
417,Homens,15 a 19 anos,2019-10-01,27.0,
418,Homens,15 a 19 anos,2019-11-01,18.0,
419,Homens,15 a 19 anos,2019-12-01,40.0,
420,Homens,15 a 19 anos,2020-01-01,41.0,27.64338436069499
421,Homens,15 a 19 anos,2020-02-01,36.0,27.339961350086632
422,Homens,15 a 19 anos,2020-03-01,34.0,30.49175277867925
423,Homens,15 a 19 anos,2020-04-01,42.0,33.36917289107342
424,Homens,15 a 19 anos,2020-05-01,31.0,30.520911230265554
425,Homens,15 a 19 anos,2020-06-01,34.0,28.489974225221435
426,Homens,15 a 19 anos,2020-07-01,34.0,27.00493043350156
427,Homens,15 a 19 anos,2020-08-01,40.0,28.06548122485703
428,Homens,15 a 19 anos,2020-09-01,38.0,28.670356006107053
429,Homens,15 a 19 anos,2020-10-01,41.0,30.913315660006884
430,Homens,15 a 19 anos,2020-11-01,31.0,29.609803650103416
431,Homens,15 a 19 anos,2020-12-01,42.0,35.94194270817694
432,Homens,20 a 24 anos,2009-01-01,28.0,
433,Homens,20 a 24 anos,2009-02-01,48.0,
434,Homens,20 a 24 anos,2009-03-01,44.0,
435,Homens,20 a 24 anos,2009-04-01,33.0,
436,Homens,20 a 24 anos,2009-05-01,31.0,
437,Homens,20 a 24 anos,2009-06-01,37.0,
438,Homens,20 a 24 anos,2009-07-01,37.0,
439,Homens,20 a 24 anos,2009-08-01,35.0,
440,Homens,20 a 24 anos,2009-09-01,46.0,
441,Homens,20 a 24 anos,2009-10-01,35.0,
442,Homens,20 a 24 anos,2009-11-01,28.0,
443,Homens,20 a 24 anos,2009-12-01,41.0,
444,Homens,20 a 24 anos,2010-01-01,39.0,
445,Homens,20 a 24 anos,2010-02-01,30.0,
446,Homens,20 a 24 anos,2010-03-01,31.0,
447,Homens,20 a 24 anos,2010-04-01,39.0,
448,Homens,20 a 24 anos,2010-05-01,38.0,
449,Homens,20 a 24 anos,2010-06-01,36.0,
450,Homens,20 a 24 anos,2010-07-01,22.0,
451,Homens,20 a 24 anos,2010-08-01,44.0,
452,Homens,20 a 24 anos,2010-09-01,30.0,
453,Homens,20 a 24 anos,2010-10-01,41.0,
454,Homens,20 a 24 anos,2010-11-01,38.0,
455,Homens,20 a 24 anos,2010-12-01,71.0,
456,Homens,20 a 24 anos,2011-01-01,38.0,
457,Homens,20 a 24 anos,2011-02-01,47.0,
458,Homens,20 a 24 anos,2011-03-01,47.0,
459,Homens,20 a 24 anos,2011-04-01,33.0,
460,Homens,20 a 24 anos,2011-05-01,49.0,
461,Homens,20 a 24 anos,2011-06-01,31.0,
462,Homens,20 a 24 anos,2011-07-01,33.0,
463,Homens,20 a 24 anos,2011-08-01,34.0,
464,Homens,20 a 24 anos,2011-09-01,33.0,
465,Homens,20 a 24 anos,2011-10-01,47.0,
466,Homens,20 a 24 anos,2011-11-01,43.0,
467,Homens,20 a 24 anos,2011-12-01,53.0,
468,Homens,20 a 24 anos,2012-01-01,31.0,
469,Homens,20 a 24 anos,2012-02-01,36.0,
470,Homens,20 a 24 anos,2012-03-01,43.0,
471,Homens,20 a 24 anos,2012-04-01,44.0,
472,Homens,20 a 24 anos,2012-05-01,40.0,
473,Homens,20 a 24 anos,2012-06-01,42.0,
474,Homens,20 a 24 anos,2012-07-01,52.0,
475,Homens,20 a 24 anos,2012-08-01,45.0,
476,Homens,20 a 24 anos,2012-09-01,46.0,
477,Homens,20 a 24 anos,2012-10-01,27.0,
478,Homens,20 a 24 anos,2012-11-01,36.0,
479,Homens,20 a 24 anos,2012-12-01,55.0,
480,Homens,20 a 24 anos,2013-01-01,36.0,
481,Homens,20 a 24 anos,2013-02-01,38.0,
482,Homens,20 a 24 anos,2013-03-01,42.0,
483,Homens,20 a 24 anos,2013-04-01,42.0,
484,Homens,20 a 24 anos,2013-05-01,54.0,
485,Homens,20 a 24 anos,2013-06-01,48.0,
486,Homens,20 a 24 anos,2013-07-01,43.0,
487,Homens,20 a 24 anos,2013-08-01,42.0,
488,Homens,20 a 24 anos,2013-09-01,42.0,
489,Homens,20 a 24 anos,2013-10-01,40.0,
490,Homens,20 a 24 anos,2013-11-01,37.0,
491,Homens,20 a 24 anos,2013-12-01,55.0,
492,Homens,20 a 24 anos,2014-01-01,42.0,
493,Homens,20 a 24 anos,2014-02-01,48.0,
494,Homens,20 a 24 anos,2014-03-01,47.0,
495,Homens,20 a 24 anos,2014-04-01,41.0,
496,Homens,20 a 24 anos,2014-05-01,31.0,
497,Homens,20 a 24 anos,2014-06-01,36.0,
498,Homens,20 a 24 anos,2014-07-01,33.0,
499,Homens,20 a 24 anos,2014-08-01,46.0,
500,Homens,20 a 24 anos,2014-09-01,41.0,
501,Homens,20 a 24 anos,2014-10-01,31.0,
502,Homens,20 a 24 anos,2014-11-01,52.0,
503,Homens,20 a 24 anos,2014-12-01,44.0,
